Address,Humanity Score,,,,
0x8d07D225a769b7Af3A923481E1FdF49180e6A265,78,,,Ranges,Frequency
0x88FB3D509fC49B515BFEb04e23f53ba339563981,50,,,0,0
0x965b813b302DFccdF6C2f676D59D7D3C960D3582,64,,,10,0
0x565B93a15d38aCD79c120b15432D21E21eD274d6,71,,,20,175
0x6626593C237f530D15aE9980A95ef938Ac15c35c,32,,,30,333
0xf7476Db5B717aC661C027e684456115ab1e728C3,67,,,40,415
0x46B8FfC41F26cd896E033942cAF999b78d10c277,64,,,50,339
0x8AcC5677F98b86c407BFA7861f53857430Ba3904,50,,,60,343
0x94781785918136b8431Ec375477AE7d997AEa50d,25,,,70,327
0x7eD52863829AB99354F3a0503A622e82AcD5F7d3,64,,,80,471
0xf6fDeE29e3A14610fdbE187e2d3442543cfA45B8,67,,,90,0
0x7df8a338E7E0786dC3E3A23680f5161D1b5d94B9,17,,,100,0
0x7e4A8391C728fEd9069B2962699AB416628B19Fa,75,,,,0
0xC20c9688e2334796c420cfe9fb6297Eb0B9AC80D,57,,,,
0x93c52cDB6713b86Ff4334324ee8C355060EB7269,35,,,,
0xf987eB73D928b80fF1477935AE894D046AC600a7,32,,,,
0x63c9a867D704dF159bbBB88EeEe1609196b1995E,78,,,,
0xF85Ae009145F390D2aCd5D9DB8C3F5515Dd6DF28,39,,,,
0x08c2828ec23EAA2434861CedF8469572C2Fd2ea7,78,,,,
0x7FEEbD9f278f36bF2900b7580805339e9167e3b6,42,,,,
0x6E9A88971e957Abb41bAe4E2677caE258F0c1e76,78,,,,
0x4899D66105Fd0F22A4a11dfF6BC855B1BABa3b99,21,,,,
0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,71,,,,
0x72dA0B8A1B932C8a2cC9dCF8C28642290220aeC4,71,,,,
0xC3AaE58Ab81663872dd36d73613eb295b167F546,71,,,,
0x95Efb7ce9d9CAde588D3A9856e5918206b50450D,46,,,,
0xc8350Eb3EEedB3fBDF0c2fABd75192E5c952FcA6,35,,,,
0x63ABD81B0dBdC35dcA424499AAC193b118D30AB1,35,,,,
0x3a3D1Fc99679343535D56374A42b3E96669913fe,71,,,,
0x017D05EA6E31A91dC4435FbA7B8F95A069577d7a,39,,,,
0x09909F60366080884Af0721C3E37dFC094DCF2A9,60,,,,
0xf7E093baB684c3F31A195dF8f2522c7fA60e4d6a,17,,,,
0x2864738984B3cAA176132e6983Fe1291Dcd355D0,42,,,,
